feature,importance_mean,importance_std
current_balance,0.31005699689590066,0.008508891104905209
average_monthly_balance_prevQ,0.043447802255602797,0.0034147923921567028
current_month_debit,0.041702202049028046,0.00364116377442734
current_month_balance,0.030282749466856863,0.0021909452835123747
previous_month_balance,0.02338082828432997,0.0028565201662503776
average_monthly_balance_prevQ2,0.014568701296802645,0.0015970588968148224
previous_month_debit,0.01403614919760191,0.0018010873161151113
previous_month_end_balance,0.006479981579003413,0.0031011631335194534
current_month_credit,0.005497601073741576,0.0038677291074868773
previous_month_credit,0.00389325632078531,0.001938203437957536
days_since_last_transaction,0.0026273099681347833,0.0013016877480639955
vintage,0.002047088766432359,0.0005499336146984392
occupation,0.001959519563284595,0.0011697840060229594
customer_nw_category,0.0017944121347120644,0.0006519627344246156
last_transaction_missing_flag,0.0011881834265161872,0.0007515840169699424
dependents,0.00017981322522044873,0.0008092359627100625
age_under_18_flag,-4.511680574765808e-05,0.0002247701592675342
gender,-0.0001415747212753171,0.000606614782588389
age,-0.00044919042306486024,0.0016300186223689626
