threshold,precision,recall,f1,sensitivity,specificity,balanced_accuracy,tn,fp,fn,tp
0.1,0.18530914215254535,1.0,0.3126764749591321,1.0,0.0,0.5,0,4625,0,1052
0.15,0.19463087248322147,0.9923954372623575,0.3254364089775561,0.9923954372623575,0.06594594594594595,0.5291706916041518,305,4320,8,1044
0.2,0.206875753920386,0.9781368821292775,0.34152007965482906,0.9781368821292775,0.14702702702702702,0.5625819545781523,680,3945,23,1029
0.25,0.2862721537999399,0.905893536121673,0.43506048847295137,0.905893536121673,0.48627027027027026,0.6960819031959716,2249,2376,99,953
0.3,0.3504472967716842,0.8564638783269962,0.49737786364890973,0.8564638783269962,0.6389189189189189,0.7476913986229576,2955,1670,151,901
0.35,0.412573673870334,0.7984790874524715,0.5440414507772021,0.7984790874524715,0.7414054054054054,0.7699422464289385,3429,1196,212,840
0.4,0.47333333333333333,0.7423954372623575,0.5780903034789046,0.7423954372623575,0.8121081081081081,0.7772517726852328,3756,869,271,781
0.45,0.5209713024282561,0.6730038022813688,0.5873081708834509,0.6730038022813688,0.8592432432432432,0.766123522762306,3974,651,344,708
0.5,0.5706713780918727,0.6140684410646388,0.5915750915750916,0.6140684410646388,0.894918918918919,0.7544936799917789,4139,486,406,646
0.55,0.6227795193312434,0.5665399239543726,0.5933300149328024,0.5665399239543726,0.9219459459459459,0.7442429349501593,4264,361,456,596
0.6,0.6654320987654321,0.5123574144486692,0.5789473684210527,0.5123574144486692,0.9414054054054054,0.7268814099270373,4354,271,513,539
0.65,0.7068702290076336,0.44011406844106465,0.5424721734036321,0.44011406844106465,0.9584864864864865,0.6993002774637755,4433,192,589,463
0.7,0.739961759082218,0.3678707224334601,0.49142857142857144,0.3678707224334601,0.9705945945945946,0.6692326585140274,4489,136,665,387
0.75,0.7642857142857142,0.3051330798479088,0.4361413043478261,0.3051330798479088,0.9785945945945946,0.6418638372212517,4526,99,731,321
0.8,0.8118811881188119,0.2338403041825095,0.36309963099631,0.2338403041825095,0.9876756756756757,0.6107579899290926,4568,57,806,246
0.85,0.8764044943820225,0.1482889733840304,0.25365853658536586,0.1482889733840304,0.9952432432432432,0.5717661083136368,4603,22,896,156
0.9,0.896551724137931,0.049429657794676805,0.0936936936936937,0.049429657794676805,0.9987027027027027,0.5240661802486898,4619,6,1000,52
