feature,importance_mean,importance_std
euribor3m,0.06088529689819454,0.011483627377972977
nr.employed,0.05216120859303265,0.009328776916594273
contact,0.0349425745723069,0.005424772837773338
emp.var.rate,0.03220986134588506,0.007626454596381225
poutcome,0.029827668456053114,0.004575583503612413
previous_contact_flag,0.019536482040573972,0.0030483190523906303
month,0.013487467610952564,0.00215676558625086
day_of_week,0.01104955596943491,0.0032248003148517765
cons.price.idx,0.01043830332010572,0.002073595251433755
default,0.0103488363746437,0.004048031664810623
campaign,0.009177939108828321,0.0034601963632803373
cons.conf.idx,0.006347539860233692,0.0024149209159687254
education,0.005372100989631851,0.0018175383479918992
job,0.005171716678635474,0.002839154532776741
age,0.0024399077221610166,0.001502676864287034
previous,0.0019198058484755144,0.0016341356760788857
marital,0.0009059021970203529,0.001294823917933176
loan,0.00045006139106847364,0.0017551045857702348
days_since_previous_contact,5.677590862307458e-05,0.00045488003550473084
housing,1.8833143583885105e-05,0.0007538985427668427
