threshold,precision,recall,f1,sensitivity,specificity,balanced_accuracy,tn,fp,fn,tp
0.1,0.11267605633802817,1.0,0.20253164556962025,1.0,0.0,0.5,0,7308,0,928
0.15,0.1135247913598429,0.9967672413793104,0.20383428823270164,0.9967672413793104,0.011631089217296114,0.5041991652983032,85,7223,3,925
0.2,0.12778496478367113,0.9579741379310345,0.22549143944197844,0.9579741379310345,0.16967706622879036,0.5638256020799124,1240,6068,39,889
0.25,0.14492014950730547,0.9191810344827587,0.25036689169357207,0.9191810344827587,0.3113026819923372,0.615241858237548,2275,5033,75,853
0.3,0.17662682602921648,0.8599137931034483,0.2930591259640103,0.8599137931034483,0.4909688013136289,0.6754412972085386,3588,3720,130,798
0.35,0.2533904354032834,0.7650862068965517,0.3806970509383378,0.7650862068965517,0.7137383689107827,0.7394122879036672,5216,2092,218,710
0.4,0.3129479216435738,0.7058189655172413,0.4336312479311486,0.7058189655172413,0.8032293377120964,0.7545241516146688,5870,1438,273,655
0.45,0.3694874851013111,0.6681034482758621,0.4758250191864927,0.6681034482758621,0.8552271483305967,0.7616652983032294,6250,1058,308,620
0.5,0.41935483870967744,0.6303879310344828,0.5036590615583297,0.6303879310344828,0.8891625615763546,0.7597752463054187,6498,810,343,585
0.55,0.4474097331240188,0.6142241379310345,0.5177111716621253,0.6142241379310345,0.9036672140120416,0.7589456759715381,6604,704,358,570
0.6,0.46987951807228917,0.5883620689655172,0.522488038277512,0.5883620689655172,0.9157088122605364,0.7520354406130267,6692,616,382,546
0.65,0.4932301740812379,0.5495689655172413,0.5198776758409785,0.5495689655172413,0.9282977558839628,0.7389333607006021,6784,524,418,510
0.7,0.5125570776255708,0.4838362068965517,0.4977827050997783,0.4838362068965517,0.9415708812260536,0.7127035440613027,6881,427,479,449
0.75,0.5308823529411765,0.3890086206896552,0.4490049751243781,0.3890086206896552,0.9563492063492064,0.6726789135194308,6989,319,567,361
0.8,0.6189376443418014,0.28879310344827586,0.3938280675973549,0.28879310344827586,0.9774220032840722,0.6331075533661741,7143,165,660,268
0.85,0.6885245901639344,0.1810344827586207,0.28668941979522183,0.1810344827586207,0.9896004378762999,0.5853174603174603,7232,76,760,168
0.9,0.7686567164179104,0.11099137931034483,0.19397363465160075,0.11099137931034483,0.9957580733442802,0.5533747263273125,7277,31,825,103
